Tipo;Nombre;Latitud;Longitud;Provincia;Ciudad
1;Río Santa Bárbara;-2.9047956;-78.778787;Azuay;Gualaceo
1;Represa de Paute;-2.586111;-78.558333;Azuay;Cuenca
1;El Turi;-2.9223567;-79.0103607;Azuay;Cuenca
1;Parque Nacional Cajas;-2.8487368;-79.2537609;Azuay;Cuenca
1;Reserva faunística el Chimborazo;-1.51123;-78.8609122;Bolívar;Riobamba
1;Santuario De La Virgen del Huayco;-1.6700716;-79.0607285;Bolívar;San Jose de Chimbo
1;Volcan Carihuairazo;-1.4043069;-78.754549;Bolívar;Riobamba
1;Complejo turístico Ingapirca;-2.548985;-78.8714679;Cañar;Cañar
1;Lagunas de culebrillas;-2.4230556;-78.8597222;Cañar;Cañar
1;Catedral de Azogues;-2.7381951;-78.8472003;Cañar;Azogues
1;Cementerio de Tulcán;0.8200078;-77.7148041;Carchi;Tulcán
1;Reserva Ecológica El Ángel;0.82152;-77.73217;Carchi;Tulcán
1;Gruta De La Paz;0.5004223;-77.842803;Carchi;Montúfar
1;Lagunas Verdes;0.8150608;-77.9357521;Carchi;Tulcán
1;Reserva Awa;1.0935308;-78.4524591;Carchi;Tulcán
1;Iglesia de Balbanera;-1.7234848;-78.7625863;Chimborazo;Colta
1;Laguna Del Atillo;-2.196173;-78.5291706;Chimborazo;Guamote
1;Laguna de Colta;-1.7375;-78.7558333;Chimborazo;Riobamba
1;La Nariz Del Diablo;-2.2437094;-78.8779638;Chimborazo;Chimborazo
1;Laguna de Azogoche;-2.2518863;-78.5916866;Chimborazo;Alausi
1;Parque Nacional De Cotopaxi;-0.7007416;-78.4297187;Cotopaxi;Latacunga
1;Laguna De Quilatoa;-0.8583134;-78.9033627;Cotopaxi;Latacunga
1;Parque Nacional Ilinizas;-0.7022878;-79.0645056;Cotopaxi;Latacunga.
1;Santuario De Cuicuno;-0.8035306;-78.6684971;Cotopaxi;Latacunga.
1;Archipiélago de Jambelí;-3.36556;-80.1108;El Oro;Santa Rosa
1;Balneario La Chocha;-3.3228304;-79.7215175;El Oro;Casacay
1;Isla Santa Clara;-3.1713787;-80.4342251;El Oro;Puerto Bolivar
1;Cerro Dos Arcos;-3.564167;-79.469444;El Oro;Zaruma
1;Cantón Chilla;-3.4576431;-79.5772008;El Oro;Chilla
1;Playa De Oro;0.865753;-78.801299;Esmeraldas;Esmeraldas
1;Reserva Ecológica Cayambe Coca;-0.3253796;-78.1479586;Esmeraldas;Esmeraldas
1;Reserva Ecológica Cotacachi Cayapas;0.583333;-78.683333;Esmeraldas;Cotachachi
1;Lago De Muisne;0.6067;-80.0183;Esmeraldas;Muisne
1;Playa Las Peñas;1.086367;-79.157314;Esmeraldas;Eloy Alfaro
1;Isla Santa Cruz;-0.6393592;-90.3371889;Galápagos;Puerto Ayora
1;Isla Isabela;-0.8292374;-91.135302;Galápagos;Puerto Villamil
1;Isla Bartolomé;-0.2842964;-90.550602;Galápagos;Galápagos
1;Isla Fernandina;-0.4123801;-91.4821482;Galápagos;Galápagos
1;Isla San Cristóbal;-0.8674715;-89.436391;Galápagos;Puerto Baquerizo Moreno
